id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
243,BSR Tours And Travels,A/C Sleeper (2+1),23:30,6:00,06h 30m,780,8,3.317275081,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
244,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:15,6:00,06h 45m,580,17,3.348274624,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
245,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:00,5:30,06h 30m,850,12,3.752291153,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
246,Bharathi Tours & Travels,A/C Sleeper (2+1),23:00,5:00,06h 00m,850,13,3.482984994,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
248,Yolo Bus,A/C Seater / Sleeper (2+1),22:15,6:07,07h 52m,450,17,1.49138094,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
249,Zingbus Plus,A/C Seater / Sleeper (2+1),21:45,5:05,07h 20m,494,14,1.420019723,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
250,NueGo,Electric A/C Seater (2+2),22:15,5:25,07h 10m,432,19,5.759727424,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
253,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,7:15,07h 45m,650,15,2.606802874,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
254,GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:30,6:10,06h 40m,599,15,1.711642161,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
255,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,6:50,07h 12m,313,22,1.242707578,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
256,AdPavan Tours and Travels,A/C Sleeper (2+1),22:30,6:10,07h 40m,527,23,5.739815526,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
258,Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),17:00,21:40,04h 40m,600,6,3.624980912,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad
259,BSR Tours And Travels,A/C Sleeper (2+1),22:00,4:30,06h 30m,780,16,5.267511105,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
260,BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:00,4:30,06h 30m,580,27,2.73490168,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
261,Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,4:50,07h 30m,780,23,1.658991006,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
262,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,5:55,08h 35m,500,24,5.774490134,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
264,Mozo travels,A/C Seater / Sleeper (2+1),22:40,5:05,06h 25m,500,18,4.098532749,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
265,BSR Tours And Travels,NON A/C Seater (2+2),22:00,5:00,07h 00m,400,30,4.766359354,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
266,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,5:00,06h 30m,350,19,2.022288729,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
269,TSRTC - 7433,Super Luxury (Non AC Seater 2+2 Push Back),16:15,19:15,03h 00m,245,31,2.284479844,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
270,TSRTC - 8449,Super Luxury (Non AC Seater 2+2 Push Back),17:30,21:00,03h 30m,245,32,1.933629324,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
271,TSRTC - 8384,Super Luxury (Non AC Seater 2+2 Push Back),20:50,1:30,04h 40m,245,29,4.553995478,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
272,TSRTC - 8352,Super Luxury (Non AC Seater 2+2 Push Back),21:00,1:00,04h 00m,245,30,3.18770659,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
273,TSRTC - 8365,Super Luxury (Non AC Seater 2+2 Push Back),21:20,2:00,04h 40m,245,21,4.495126014,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
274,APSRTC - 3793,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:40,2:45,03h 05m,318,27,2.642888303,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
